aX,aY,aZ,gX,gY,gZ
0.069,-0.010,1.054,3.540,-1.160,-3.479
0.085,-0.012,0.859,0.854,-3.845,-2.747
0.096,-0.023,0.840,-1.465,-1.465,-2.136
0.119,-0.085,0.965,-2.563,8.911,-2.197
0.111,-0.080,1.027,-1.831,11.047,-4.456
0.094,-0.051,1.058,-3.113,5.798,-9.216
0.062,-0.000,1.033,-3.540,1.770,-9.766
0.066,0.026,1.023,-1.831,-5.127,-7.141
0.066,0.018,0.925,-1.831,-8.179,-4.395
0.053,-0.008,0.887,-2.380,-4.028,-2.014
0.032,-0.020,0.940,-2.258,1.648,-2.869
0.026,-0.002,0.984,-1.038,8.240,-3.662
0.009,0.034,1.028,-0.488,7.996,-2.930
-0.000,0.071,1.042,-0.427,4.211,0.916
-0.000,0.052,1.088,0.061,2.075,3.967
0.016,0.006,1.109,1.160,0.122,6.165
0.044,-0.036,1.116,2.441,-5.005,5.188
0.076,-0.065,1.002,1.465,-8.301,2.686
0.057,-0.030,0.919,-1.587,-8.789,-1.221
0.021,0.009,0.903,-3.723,-5.371,-0.977
0.029,-0.008,0.946,-6.775,0.549,-0.366
0.071,-0.026,0.963,-7.202,2.319,-0.916
0.086,-0.018,0.955,-5.310,8.362,-2.625
0.099,0.026,1.067,-3.296,10.925,-2.625
0.105,0.033,1.142,0.793,3.418,0.549
0.100,0.015,1.106,0.854,-5.798,2.380
0.098,0.002,0.995,-0.366,-13.916,3.784
0.100,-0.026,0.913,-1.038,-12.268,4.211
0.108,-0.060,0.917,-0.061,-5.676,2.258
0.093,-0.033,0.944,-0.488,2.991,-2.869
0.046,0.044,1.007,-0.183,4.639,-2.869
0.046,0.015,1.037,1.160,3.235,0.366
0.069,-0.014,1.010,1.038,1.465,0.305
0.068,-0.006,0.992,-0.854,0.488,-1.404
0.044,0.019,0.984,-2.625,0.671,-1.892
0.034,0.015,0.992,-0.488,4.150,-1.343
0.040,0.044,1.054,2.441,5.676,-0.793
0.050,0.028,1.068,4.517,5.554,0.854
0.062,-0.002,1.079,7.385,3.296,2.502
0.064,0.001,1.078,7.141,0.305,1.709
0.057,0.014,1.039,3.357,-8.545,1.770
0.049,0.003,0.947,0.427,-11.658,2.686
0.052,0.000,0.933,-4.944,-12.329,3.357
0.064,-0.027,0.973,-5.859,-10.925,2.747
0.078,-0.046,0.995,-4.761,-8.240,-0.122
0.084,-0.026,0.975,-3.784,-7.629,-2.197
0.064,0.022,0.958,-1.038,-5.188,-2.502
0.043,0.020,0.943,0.549,-3.418,-0.305
0.052,-0.009,0.934,1.038,-1.648,1.160
0.061,-0.021,0.932,-1.831,2.014,-0.122
0.066,-0.019,0.981,-3.540,4.089,-1.160
0.065,-0.003,1.035,-2.197,4.944,-2.197
0.056,0.020,1.072,-1.221,1.709,-1.770
0.053,0.001,1.026,-2.075,-5.127,-1.221
0.049,-0.028,0.925,-3.174,-4.761,-2.258
0.049,-0.011,0.929,-3.906,1.221,-4.639
0.059,0.029,1.010,-2.808,2.747,-4.272
0.063,0.014,1.019,-2.686,0.671,-2.136
0.059,-0.024,0.986,-3.296,0.610,-2.563
0.055,-0.017,0.999,-3.723,2.075,-5.188
0.045,0.050,1.034,-5.066,0.000,-5.066
0.043,0.059,1.041,-6.531,-3.418,-3.052
0.049,0.028,1.041,-5.493,-8.179,1.587
0.064,-0.046,0.981,-3.357,-7.812,0.732
0.048,-0.026,0.944,0.793,-0.427,-4.883
0.007,0.064,0.968,1.343,3.662,-5.737
-0.000,0.085,1.007,0.977,5.615,-0.793
0.029,0.021,1.071,1.709,4.395,2.258

-0.189,-1.420,1.095,-19.287,-9.460,-3.662
-0.082,-1.573,1.095,-12.390,3.174,-24.109
0.068,-1.514,0.883,-6.836,8.606,-41.809
0.032,-1.080,0.632,-7.629,28.503,-67.139
0.046,-0.165,0.575,-3.662,47.546,-56.396
0.201,-0.094,0.903,20.996,61.768,-20.447
0.623,-0.207,1.310,29.175,38.818,-21.301
0.772,-0.053,1.086,20.081,-28.931,-61.279
0.801,0.913,0.152,12.207,-38.940,-80.627
0.671,1.400,-0.094,-24.109,21.912,-78.552
0.446,1.343,0.708,-64.209,59.570,-64.331
0.331,0.843,1.284,-109.314,72.205,-59.387
0.058,0.424,1.666,-128.113,39.612,-119.690
-1.045,1.560,1.837,-71.106,30.029,-156.372
-1.375,2.402,1.913,62.683,-3.906,-73.975
-0.661,1.710,0.957,70.923,-52.490,23.071
-0.015,0.710,0.215,9.827,-83.069,129.822
0.667,-0.584,0.075,-8.789,-42.786,118.408
0.737,-0.578,0.554,0.916,31.799,50.537
0.693,-0.419,1.166,2.136,32.715,26.062
0.585,-0.337,1.140,-10.071,3.540,-9.216
0.088,0.298,0.940,-9.094,-0.427,-17.883
-0.111,0.419,1.048,-3.967,4.333,-13.428
-0.147,0.282,1.247,1.038,3.662,9.583
-0.055,0.190,1.208,1.770,-4.822,16.968
0.053,0.079,1.128,0.366,-18.616,23.010
0.204,-0.051,0.851,-0.977,-18.005,20.752
0.218,-0.042,0.792,3.296,6.226,10.620
0.198,-0.006,1.013,5.859,20.691,6.165
0.188,-0.032,1.205,8.362,28.809,-1.709
0.141,0.004,1.311,10.193,19.409,-6.104
0.125,0.044,1.195,8.972,-6.348,-7.812
0.111,0.029,0.970,5.615,-13.916,-6.653
0.091,0.049,0.916,2.441,-16.724,-5.249
-0.004,0.050,0.905,0.244,-10.742,-1.404
-0.056,0.050,0.935,4.272,-3.906,-1.038
-0.085,0.045,0.938,12.451,6.653,-1.770
-0.047,0.035,0.874,12.939,10.437,-1.831
-0.009,0.025,0.915,8.911,18.677,-2.625
0.025,0.064,1.132,5.066,16.907,-3.113
0.023,0.070,1.159,-3.479,-3.723,-0.732
0.034,-0.014,0.983,-7.019,-13.123,0.244
0.037,-0.021,0.903,-7.263,-11.841,-3.418
0.033,0.036,0.900,-4.333,-4.883,-5.432
0.023,0.067,0.969,-1.709,3.967,-5.920
-0.016,0.097,1.071,-2.014,3.052,-4.028
-0.014,0.083,1.066,-3.540,-3.906,2.380
0.046,-0.000,1.024,-4.395,-5.920,3.967
0.073,-0.011,1.010,-4.944,-6.287,2.869
0.075,0.003,1.001,-2.502,-4.211,-3.601
0.030,0.115,0.967,-0.183,-3.418,-5.249
0.023,0.097,0.971,2.197,-4.089,1.038
0.042,-0.010,0.927,0.488,-5.981,2.808
0.038,0.002,0.881,-4.395,-2.686,-1.221
0.009,0.092,0.942,-4.578,3.601,-3.296
0.003,0.097,1.069,-1.404,11.353,-2.075
0.012,0.095,1.201,0.732,7.019,-0.122
0.021,0.082,1.159,3.967,-8.911,5.188
0.034,0.024,0.995,3.540,-14.526,5.798
0.036,0.029,0.906,1.465,-16.602,4.822
0.044,0.031,0.843,-1.282,-7.935,2.991
0.065,0.033,0.890,-1.099,-0.244,2.380
0.064,0.050,0.970,1.770,8.667,3.235
0.058,0.028,1.084,4.456,8.057,4.150
0.063,0.002,1.072,6.226,0.854,2.563
0.063,0.010,0.952,4.517,-2.014,0.488
0.059,0.024,0.925,-0.549,-0.671,-1.648
0.060,0.028,0.958,-1.709,1.770,-2.197
0.061,0.020,0.978,-1.587,4.700,-3.235
0.055,0.016,1.066,-0.671,10.376,-7.324
0.039,0.060,1.106,-0.793,9.277,-9.277
0.017,0.133,1.103,-2.991,-4.639,-4.761
0.013,0.116,1.002,-4.333,-12.085,1.709
0.034,0.035,0.957,-2.991,-12.207,6.714
0.067,-0.030,0.975,-0.488,-7.263,3.601
0.058,-0.004,0.984,0.732,-2.808,-3.357
0.015,0.054,0.928,-0.549,-3.723,-4.456
-0.005,0.097,0.887,-1.587,-1.953,-1.221
-0.003,0.076,0.942,-0.122,1.648,1.587
0.021,0.035,1.000,-0.122,4.333,2.502
0.050,-0.021,1.074,-1.343,2.441,0.061
0.041,0.002,1.066,-2.563,-1.587,-2.808
0.005,0.111,0.906,-6.226,-9.949,-3.906
0.003,0.122,0.885,-6.042,-7.324,-1.404
0.017,0.078,0.954,-1.465,4.700,3.357
0.052,-0.011,1.061,-1.160,5.432,2.930
0.066,-0.007,1.043,-2.197,-1.160,-0.610
0.072,0.028,0.941,-3.906,-4.272,-1.282
0.056,0.026,0.918,-3.784,0.305,-2.747
-0.003,0.098,1.009,-1.465,5.676,-3.845
-0.022,0.112,1.071,2.258,9.216,-1.526
0.012,0.075,1.134,3.296,5.920,0.671
0.041,0.046,1.086,-0.061,-6.531,2.441
0.055,0.028,0.919,-2.625,-8.057,1.648
0.057,0.015,0.939,-2.686,-3.479,0.488
0.063,0.004,1.014,0.366,6.653,-2.869
0.048,0.026,1.056,0.427,5.920,-4.761
0.030,0.056,1.011,0.366,1.831,-6.104
0.009,0.112,0.963,0.061,1.282,-4.883
0.010,0.096,0.983,0.244,2.014,-0.183
0.032,0.046,1.014,0.488,1.648,1.099
0.045,0.039,0.992,1.160,0.183,1.831
0.072,0.018,0.977,1.953,0.366,1.709
0.080,0.013,0.993,2.686,0.732,0.732
0.078,0.000,1.008,2.747,-0.244,-2.136
0.048,0.024,0.974,1.953,-1.526,-3.723
0.025,0.065,0.937,-1.831,-2.502,-4.211
-0.017,0.108,0.935,-3.845,-1.282,-2.686
-0.017,0.099,0.990,-3.296,1.099,2.014
0.045,0.020,1.059,-1.709,-0.610,3.601
0.078,-0.007,1.008,0.671,-4.272,1.770
0.074,0.016,0.913,0.916,-1.831,-0.977
0.040,0.062,0.958,0.977,2.502,-3.479
0.011,0.091,1.068,-0.488,2.075,-2.441
0.027,0.056,1.039,-3.174,-3.662,0.061
0.045,0.037,1.008,-4.395,-7.996,1.099
0.049,0.050,1.001,-2.258,-5.981,0.305
0.041,0.049,1.004,0.305,-3.113,-1.038
0.021,0.060,0.952,-0.793,-3.723,-1.404

-0.201,-1.068,1.310,5.310,23.193,-5.676
-0.100,-1.123,1.312,-1.038,11.292,-23.499
0.046,-0.917,1.113,-4.822,5.493,-37.048
0.103,-0.748,1.035,-2.625,7.202,-50.537
0.203,-0.388,0.859,0.488,9.216,-45.959
0.239,-0.148,0.701,14.771,16.663,-18.372
0.429,0.205,0.594,22.095,22.461,-3.967
0.533,0.304,0.619,-1.648,14.221,-5.859
0.629,0.521,0.569,-31.311,3.235,-22.095
0.652,0.715,0.427,-56.763,-1.099,-40.710
0.719,0.619,0.484,-58.289,41.321,-65.796
0.622,0.355,0.845,-44.556,76.721,-87.891
0.311,0.393,1.271,-15.808,113.770,-174.561
-0.828,1.724,2.131,-8.850,102.661,-196.533
-1.300,2.247,2.288,1.221,1.953,-98.999
-0.973,1.620,1.290,15.564,-60.730,-8.179
-0.286,0.818,0.583,18.921,-102.905,109.009
0.698,-0.507,-0.056,8.728,-73.242,110.718
0.807,-0.650,0.119,12.390,18.616,47.852
0.584,-0.287,0.806,15.503,44.800,18.555
0.400,-0.172,1.091,7.874,44.189,-8.240
0.088,0.012,1.348,5.493,25.452,-14.771
-0.047,0.183,1.227,1.770,0.916,-18.555
-0.159,0.326,1.038,-8.606,-31.555,-8.789
-0.208,0.345,0.761,-9.705,-33.264,3.113
-0.141,0.248,0.690,-6.226,-18.799,25.330
0.056,0.063,0.716,-4.211,-3.540,30.090
0.146,-0.051,0.883,6.226,30.334,26.489
0.248,-0.210,1.239,12.817,36.194,18.494
0.250,-0.136,1.244,16.541,18.799,1.221
0.162,0.035,1.069,10.803,7.996,-2.319
0.116,0.057,1.050,-3.357,0.671,-2.197
0.097,-0.024,1.129,-7.324,0.854,-2.563
0.099,-0.030,1.127,-8.728,0.732,-5.371
0.075,0.017,1.086,-1.587,-0.671,-11.047
-0.006,0.081,0.991,3.479,-2.136,-9.888
-0.023,0.109,0.955,4.211,-5.310,-1.587
-0.002,0.046,0.921,2.258,-2.686,1.465
0.008,0.032,0.961,0.793,6.592,-0.488
0.013,0.072,1.089,-1.709,5.127,-0.244
0.029,0.045,1.093,-6.042,-7.568,4.700
0.071,-0.018,1.003,-5.371,-11.841,4.578
0.071,-0.010,0.932,-3.296,-14.099,1.587
0.049,0.046,0.813,-3.052,-10.681,1.648
0.052,0.025,0.863,-3.357,-2.869,2.258
0.071,0.026,1.096,-1.648,12.146,-1.648
0.065,0.046,1.131,-1.526,10.315,-3.906
0.053,0.050,1.086,-4.883,-4.639,-2.136
0.050,0.071,0.941,-4.395,-7.874,0.061
0.058,0.074,0.920,-0.427,-1.160,2.991
0.079,-0.004,1.036,0.244,3.845,2.686
0.094,-0.023,1.073,0.366,3.662,-2.014
0.075,0.033,0.961,-0.977,0.977,-4.944
0.045,0.092,0.917,-1.648,2.563,-4.822
0.020,0.102,0.997,0.061,5.798,-1.221
0.033,0.062,1.068,1.465,7.263,2.075
0.049,0.033,1.097,0.366,0.671,3.906
0.080,0.017,0.994,-0.488,-3.845,3.235
0.095,0.015,0.924,-2.014,-1.770,0.366
0.085,0.018,1.032,-0.305,4.700,-1.282
0.055,0.028,1.140,4.395,5.493,-2.625
0.007,0.068,1.075,4.089,-2.747,-1.587
0.010,0.056,0.931,0.732,-10.254,0.793
0.045,0.058,0.829,-0.916,-3.906,0.183
0.050,0.069,0.925,-1.953,11.353,-0.549
0.020,0.091,1.163,0.000,11.597,0.916
0.017,0.080,1.180,2.014,5.981,3.662
0.033,0.054,1.112,3.479,-8.972,6.592
0.064,0.024,0.929,2.991,-10.803,5.554
0.067,-0.000,0.924,1.465,-4.028,2.869
0.067,-0.010,0.955,0.793,-0.916,1.160
0.055,0.033,0.949,-0.854,2.747,-0.916
0.034,0.071,0.995,-0.916,4.578,0.061
0.055,0.050,1.055,-0.061,3.174,2.991
0.113,-0.037,1.100,-0.549,-1.160,2.380
0.123,-0.044,1.058,-0.977,-5.798,-0.061
0.091,0.036,0.930,-0.549,-10.559,-5.859
0.065,0.070,0.887,-0.488,-9.949,-6.165
0.043,0.057,0.883,-1.953,-2.686,-2.930
0.043,0.019,1.000,-1.709,1.709,-2.563
0.054,0.031,1.046,-1.953,1.038,-3.418
0.057,0.059,1.052,-2.258,-3.235,-2.930
0.044,0.058,1.033,-2.441,-11.902,-0.916
0.019,0.052,0.946,-2.808,-13.794,-0.183
0.021,0.024,0.917,-1.282,-8.118,-0.061
0.038,0.004,0.929,-0.732,-4.028,-1.587
0.039,0.018,0.937,-1.831,0.122,-4.028
0.026,0.045,0.947,-2.014,1.526,-4.395
0.016,0.041,0.965,-1.404,6.104,-4.272
0.022,0.024,1.018,-1.404,7.935,-4.822
0.020,0.044,1.035,-1.770,8.545,-5.798
0.011,0.073,1.061,-1.343,5.981,-5.249
-0.003,0.104,1.100,-0.793,1.404,-2.991
0.002,0.085,1.058,-1.099,-9.644,2.686
0.035,0.003,0.960,-1.282,-11.292,3.662
0.051,0.011,0.934,-2.380,-8.240,1.831
0.059,0.011,0.922,-2.014,-5.188,1.099
0.046,0.020,0.926,0.305,2.014,-1.343
0.012,0.055,1.001,0.183,5.432,-2.258
0.012,0.046,1.071,-0.488,5.310,-1.587
0.043,0.031,1.058,-0.671,0.488,-0.977
0.050,0.044,0.978,-1.465,-3.845,-0.854
0.043,0.046,0.943,-2.502,-0.122,-1.831
0.019,0.048,1.045,-1.648,3.052,-2.991
0.012,0.070,1.059,-1.099,-1.709,-3.418
0.010,0.089,0.950,-1.587,-4.456,-1.404
0.017,0.076,0.936,0.427,1.038,2.808
0.039,0.052,1.044,1.221,4.456,3.723
0.049,0.020,1.097,1.953,0.854,2.502
0.049,0.011,1.019,1.526,-5.066,0.488
0.034,0.030,0.936,-0.793,-10.010,-1.404
0.023,0.103,0.831,-5.981,-7.629,-2.319
0.036,0.075,0.900,-4.272,1.404,-0.366
0.055,0.022,1.034,2.136,14.954,0.732
0.074,0.011,1.156,3.418,11.230,-1.160
0.070,0.046,1.081,0.732,-4.944,-2.991
0.036,0.075,0.916,-1.648,-7.812,-2.197
0.016,0.088,0.933,-0.793,-0.977,0.244
0.019,0.046,1.052,1.099,0.549,1.892

-0.334,-1.408,1.607,-30.884,28.259,23.621
-0.144,-1.721,1.571,0.183,2.747,28.259
0.267,-1.703,0.987,29.785,-3.479,9.460
0.359,-1.123,0.562,51.758,27.466,-45.593
0.235,0.424,0.344,37.292,60.669,-45.959
0.181,0.895,0.730,-4.578,89.233,25.330
0.514,0.668,1.447,-27.222,57.434,62.927
0.817,0.062,1.302,-57.190,4.822,70.190
0.956,-0.392,0.764,-84.900,-29.358,-56.335
0.457,0.704,0.521,-45.044,28.992,-146.301
-0.052,1.462,1.173,45.349,127.869,-193.970
-1.041,1.986,2.040,46.631,100.342,-158.203
-1.103,2.084,1.735,28.870,-32.593,-30.457
-0.189,1.175,0.755,32.532,-74.890,40.588
0.358,0.377,0.509,25.879,-93.262,99.365
0.718,-0.373,0.026,18.616,-81.848,83.374
0.664,-0.358,-0.067,17.822,-22.644,35.400
0.449,-0.293,0.351,10.254,9.216,18.555
0.283,-0.188,0.717,-0.366,33.508,3.296
0.120,0.063,1.094,0.793,51.636,-13.306
-0.040,0.325,1.632,7.080,41.687,-6.104
-0.014,0.286,1.678,13.184,-6.531,13.550
0.086,0.174,1.318,12.634,-33.508,19.226
0.105,0.148,0.969,1.831,-62.195,27.466
0.172,-0.005,0.392,-2.930,-51.208,31.677
0.217,-0.140,0.439,1.892,12.146,27.771
0.316,-0.206,1.021,8.240,38.086,18.860
0.327,-0.159,1.250,11.597,47.180,7.996
0.301,-0.106,1.336,3.052,22.583,-11.047
0.157,0.069,1.176,-2.991,3.357,-16.296
0.096,0.144,1.090,-7.385,-23.376,-9.277
0.034,0.009,0.948,-9.277,-31.250,-2.014
0.015,-0.044,0.856,-9.583,-27.039,-0.366
-0.005,-0.023,0.845,-6.714,-14.771,-3.540
-0.011,0.002,0.948,-3.296,4.944,-7.690
-0.034,0.058,1.114,-1.099,6.470,-7.568
-0.040,0.041,1.109,2.563,0.000,-5.066
-0.036,0.014,0.934,1.282,-1.343,-4.761
-0.018,0.013,0.897,-1.465,10.986,-5.493
0.002,0.122,0.971,0.793,18.860,-5.493
-0.005,0.166,1.049,4.150,22.644,-2.625
0.034,0.070,1.087,5.554,10.132,10.132
0.086,-0.016,1.022,3.052,-0.549,14.282
0.148,-0.097,0.971,-3.601,-8.545,10.620
0.188,-0.137,0.944,-6.531,-6.348,4.028
0.146,-0.064,0.944,-4.578,3.357,-8.362
0.040,0.101,1.001,-2.014,6.897,-9.338
0.042,0.089,1.033,-2.625,1.831,-1.343
0.095,-0.004,1.031,-4.761,-4.089,1.160
0.101,0.009,1.013,-10.010,-14.221,-0.244
0.055,-0.002,0.940,-11.475,-15.991,-1.526
0.036,0.001,0.897,-11.292,-14.343,-3.357
0.027,0.055,0.871,-6.348,-1.404,-6.226
0.033,0.082,0.936,-3.601,6.897,-5.493
0.042,0.097,1.023,-1.465,12.268,0.122
0.052,0.034,1.099,-1.160,8.911,3.113
0.051,0.034,1.079,-1.587,0.122,4.089
0.086,0.021,1.053,-2.686,-1.953,4.456
0.113,-0.016,1.072,-1.831,-2.808,1.953
0.131,-0.018,1.012,0.122,-3.540,-0.854
0.115,-0.017,0.965,-0.671,-3.723,-5.676
0.043,0.035,0.890,-2.075,-1.770,-7.812
0.010,0.100,0.906,-3.235,2.258,-8.728
0.014,0.122,1.100,-1.038,11.108,-3.418
0.046,0.079,1.168,1.709,10.437,0.244
0.077,0.034,1.175,2.625,-1.404,2.380
0.076,-0.008,1.069,1.038,-8.301,1.038
0.054,0.009,0.975,-2.747,-16.724,-1.770
0.025,0.099,0.803,-3.723,-14.099,-1.587
0.023,0.090,0.853,-1.160,3.906,1.892
0.053,0.027,1.105,0.244,8.179,2.625
0.069,0.010,1.116,0.000,-1.831,1.648
0.064,0.011,0.895,-0.916,-6.531,0.488
0.045,0.027,0.831,-1.526,-5.432,-0.916
0.030,0.052,0.866,-1.404,7.446,-1.648
0.055,0.031,1.095,-1.343,10.803,-0.793
0.081,-0.000,1.124,-0.977,3.845,-2.258
0.073,0.038,0.970,0.244,0.122,-4.639
0.046,0.105,0.926,2.014,1.160,-3.357
0.021,0.101,1.024,2.014,2.686,0.732
0.034,0.058,1.093,0.305,-3.357,4.883
0.053,0.012,1.051,-1.953,-10.071,4.333
0.049,0.037,0.963,-3.723,-15.442,3.174
0.062,0.034,0.849,-4.883,-13.855,3.296
0.074,0.021,0.890,-3.601,-6.897,3.235
0.078,0.021,0.982,-0.854,3.418,1.160
0.055,-0.002,1.061,-1.648,2.380,-0.122
0.041,0.014,1.012,-2.563,-1.465,-3.174
0.033,0.056,0.912,-3.052,-0.427,-3.662
0.032,0.083,0.926,-3.784,6.714,-2.930
0.035,0.090,1.109,-1.892,9.094,-1.099
0.057,0.059,1.173,0.977,-0.183,2.319
0.097,-0.011,1.058,-0.549,-8.728,2.625
0.100,-0.022,0.953,-5.493,-15.015,-0.732
0.060,0.035,0.847,-5.920,-9.033,-3.601
0.027,0.081,0.927,-4.639,0.793,-5.859
-0.009,0.135,1.123,-1.648,9.766,-5.127
-0.005,0.119,1.126,0.610,5.554,-1.770
0.015,0.083,1.061,4.700,-5.859,5.310
0.062,0.010,0.889,4.639,-6.531,6.042
0.069,0.019,0.860,2.747,4.395,1.709
0.078,0.033,1.007,1.709,9.644,-0.061
0.082,0.016,1.071,-1.282,4.211,-1.160
0.078,0.022,0.977,-2.625,-1.343,-2.075
0.066,0.038,0.930,-3.113,-0.732,-4.150
0.030,0.097,0.997,-3.174,1.953,-4.822
0.018,0.126,1.047,-2.930,0.061,-0.916
0.047,0.067,1.074,-1.831,-3.540,2.808
0.073,0.029,1.028,-1.160,-7.019,4.883
0.083,0.017,0.973,-0.366,-6.226,2.441
0.057,0.048,0.944,0.366,-2.258,0.000
0.037,0.064,0.953,0.610,4.150,-2.014
0.019,0.099,0.996,0.732,5.676,-1.099
0.031,0.086,1.034,3.540,5.981,3.418
0.084,0.042,1.088,5.127,4.150,4.639
0.095,0.012,1.085,4.822,-1.831,2.869
0.071,0.012,1.008,3.662,-4.272,0.122
0.052,0.055,0.955,1.770,-5.310,-2.258
0.042,0.083,0.933,-0.488,-0.732,-1.404

-0.448,-0.926,1.362,-18.494,21.851,-0.488
-0.398,-1.123,1.294,-3.784,17.761,8.972
-0.137,-1.451,1.105,8.179,20.630,6.592
0.030,-1.474,1.081,16.541,28.809,-19.897
0.155,-0.931,0.993,6.958,27.466,-35.095
0.093,-0.450,0.899,-3.357,24.353,-38.696
0.105,0.036,0.961,4.944,24.292,-24.719
0.289,-0.035,1.087,12.390,-9.827,-0.610
0.753,0.341,0.656,-1.587,-42.480,1.953
0.830,0.717,0.057,-24.231,-62.988,2.136
0.556,0.693,-0.580,-54.260,26.123,-22.339
0.444,0.621,0.322,-33.630,138.733,-63.477
0.379,0.808,1.924,39.795,249.695,-143.799
-0.064,1.396,3.802,36.987,157.104,-149.109
-0.368,1.638,3.038,-26.978,-146.423,-92.041
-0.627,1.417,0.195,-32.043,-219.299,-40.955
-0.507,0.899,-0.614,2.136,-153.809,41.565
-0.048,0.132,-0.962,9.277,-78.064,53.955
0.151,0.005,-0.636,3.906,65.613,46.326
0.392,0.027,0.712,-0.916,107.849,40.039
0.497,-0.010,1.371,-6.592,99.243,33.752
0.538,-0.229,1.793,-8.362,60.974,26.550
0.446,-0.175,1.552,-8.362,21.423,14.954
0.329,-0.034,1.281,0.366,-13.733,-0.488
0.134,0.118,1.058,6.165,-12.573,-0.549
0.093,0.068,1.040,3.601,-10.254,1.465
0.032,0.071,0.967,-5.920,-13.733,-0.488
0.041,0.107,0.986,-19.348,-19.104,1.770
0.145,0.045,1.004,-17.700,-19.897,3.906
0.175,-0.002,0.978,-6.897,-12.817,3.174
0.108,0.060,0.973,-1.465,-5.737,1.404
0.060,0.081,1.032,5.676,4.150,3.174
0.035,0.042,1.087,4.028,3.052,5.066
0.069,-0.040,1.123,0.916,0.916,6.165
0.101,-0.113,1.179,0.000,-7.385,-0.183
0.032,-0.014,1.138,0.549,-15.747,-5.249
-0.047,0.089,1.012,-0.916,-22.278,-8.118
-0.132,0.143,0.989,-0.916,-14.954,-6.897
-0.112,0.106,1.041,1.526,-4.883,-3.601
-0.095,0.097,0.901,1.648,-4.700,-1.892
-0.100,0.120,0.835,4.883,4.639,3.723
-0.033,0.126,0.958,5.920,10.559,7.690
0.029,0.041,1.048,2.258,8.545,12.939
0.110,-0.072,1.073,-0.366,3.235,11.414
0.123,-0.088,1.047,-2.380,-1.465,8.301
0.102,-0.045,0.975,-3.723,-4.028,0.183
0.072,0.005,0.994,-1.709,-0.732,-3.235
0.034,0.084,1.032,3.174,2.197,-5.432
-0.018,0.102,1.083,3.357,-1.953,-2.441
-0.012,0.072,1.048,-2.258,-18.616,4.639
0.028,-0.014,0.828,-6.836,-23.804,5.920
0.042,-0.027,0.735,-5.005,-6.714,1.343
0.035,0.052,0.944,0.366,8.789,-1.343
0.027,0.069,1.134,6.653,13.977,-0.732
0.037,0.072,1.120,5.981,2.747,0.549
0.045,0.038,0.970,-2.869,-13.367,2.258
0.058,0.000,0.916,-6.409,-12.329,1.648
0.053,0.024,0.983,-7.690,-9.094,0.610
0.041,0.049,1.057,-3.845,-5.920,-1.160
0.022,0.051,1.085,-1.648,-8.484,-1.343
0.023,0.025,1.003,-2.747,-15.564,-1.892
0.012,0.049,0.806,-4.333,-14.038,-2.441
-0.006,0.071,0.819,-3.601,-0.061,-0.549
0.005,0.073,0.997,-2.197,3.845,1.404
0.037,0.028,1.009,-3.357,0.854,2.747
0.061,-0.020,0.965,-4.028,1.404,-0.305
0.030,0.041,1.001,-3.845,5.310,-4.761
-0.019,0.114,1.129,-2.930,3.662,-2.136
-0.009,0.058,1.144,-1.587,-0.610,1.221
0.017,-0.018,0.994,-0.122,-7.874,-0.061
0.013,0.001,0.899,-0.244,-5.981,-3.479
-0.001,0.031,0.866,-1.038,9.094,-8.057
-0.048,0.137,1.035,0.854,16.296,-8.118
-0.047,0.151,1.139,3.662,12.390,-1.343
0.013,0.002,1.119,2.625,3.052,1.587
0.033,-0.017,1.001,-0.305,-7.935,-1.587
0.002,0.062,0.888,-0.488,-5.188,-4.272
-0.031,0.109,0.923,-0.549,1.953,-4.089
-0.020,0.084,1.009,-0.977,2.014,-0.977
0.023,0.029,1.011,-0.366,0.366,2.197
0.091,-0.018,1.038,-1.770,-0.793,0.854
0.085,0.004,1.040,-4.272,-3.662,-1.526
0.029,0.083,0.949,-6.165,-10.681,-4.517
0.000,0.088,0.910,-4.883,-10.803,-3.784
-0.012,0.067,0.909,-0.122,-3.906,-1.221
-0.004,0.051,0.960,1.526,-0.732,-1.221
0.001,0.058,0.977,-0.916,-0.977,-1.282
0.008,0.073,0.967,-2.930,-3.052,-0.854
0.015,0.063,0.967,-5.249,-3.967,0.732
0.023,-0.019,1.016,-4.700,-2.991,0.244
0.012,-0.004,1.001,-1.648,-0.916,-5.371
-0.015,0.065,0.954,-1.038,0.854,-7.263
-0.024,0.100,0.963,-4.883,2.686,-6.958
-0.021,0.114,1.042,-6.287,1.953,-4.272
-0.013,0.076,1.065,-6.165,0.000,-1.282
-0.016,0.064,1.021,-3.540,-3.967,0.061
-0.016,0.068,1.000,-2.258,-3.723,-0.610
-0.015,0.065,0.998,-3.113,-1.038,-2.197
-0.025,0.077,1.039,-3.601,-0.122,-2.441
-0.026,0.096,1.061,-1.770,-1.343,-0.244
0.016,0.072,1.070,-0.854,-3.845,2.258
0.035,0.028,1.026,-1.404,-7.324,2.014
0.011,0.054,0.974,-0.610,-3.784,-0.793
-0.002,0.063,1.027,2.869,3.723,-2.930
0.006,0.089,1.069,3.967,2.808,-1.892
0.019,0.073,1.056,3.784,-2.502,1.526
0.028,0.051,1.003,2.319,-5.066,1.160
0.021,0.046,0.964,0.061,-6.470,-0.122
0.008,0.030,0.944,-2.014,-2.991,-2.686
