aX,aY,aZ,gX,gY,gZ
-0.102,-1.087,0.637,-24.475,57.495,-35.583
0.014,-0.672,0.687,37.292,97.900,-13.000
0.484,-0.097,1.020,66.223,102.783,17.090
0.823,0.016,1.141,99.426,54.932,56.885
1.245,0.380,0.675,89.600,17.944,39.368
1.181,0.792,0.323,41.687,-7.996,-1.404
0.691,1.512,0.554,-152.588,-13.611,-81.787
0.427,1.458,0.994,-229.797,-12.756,-101.746
0.136,1.172,1.329,-215.698,-31.433,-140.564
-0.720,1.481,1.347,-163.574,-36.682,-161.926
-1.251,1.905,1.221,-80.505,-4.089,-130.127
-1.449,2.253,1.443,-27.710,19.165,-66.040
-0.852,1.744,1.564,74.463,-7.568,101.318
0.645,-0.004,0.956,78.979,-49.438,147.705
0.996,-0.668,0.439,37.781,-72.632,119.568
0.777,-0.833,0.107,32.410,-42.297,71.716
0.549,-0.455,0.266,32.471,17.700,4.883
0.322,-0.172,0.695,20.386,30.029,-1.099
0.289,-0.223,0.898,5.493,33.081,-2.197
0.250,-0.237,1.032,-12.451,27.100,-13.306
0.162,-0.083,1.159,-17.090,23.376,-19.592
0.110,-0.006,1.184,-28.931,14.954,-25.391
0.008,0.175,1.177,-28.870,13.000,-25.024
-0.029,0.246,1.214,-12.573,13.855,-12.939
-0.027,0.187,1.313,-4.333,11.353,-3.784
0.003,0.129,1.288,4.578,-2.014,7.141
0.059,0.033,1.096,7.568,-7.568,8.545
0.080,-0.010,0.994,12.634,-5.981,7.141
0.115,-0.080,0.959,13.184,-0.427,5.310
0.125,-0.116,1.000,11.475,4.517,3.113
0.072,-0.045,1.021,5.676,7.751,-4.822
0.024,0.005,1.043,3.723,7.996,-7.629
-0.009,0.019,1.078,0.793,3.479,-6.348
-0.021,-0.015,1.024,-0.732,-1.465,-4.883
-0.016,-0.019,0.932,-3.235,-5.371,-3.540
-0.000,0.053,0.831,-3.601,-1.709,-2.380
0.014,0.056,0.882,0.549,8.362,4.089
0.030,-0.012,0.984,3.113,9.827,6.042
0.019,-0.005,0.997,6.531,8.667,4.944
0.011,0.043,1.025,5.432,5.859,5.005
0.031,0.020,1.019,2.014,1.343,6.531
0.081,-0.045,0.965,-3.357,-5.188,8.667
0.097,-0.048,0.976,-3.174,-4.272,7.568
0.108,-0.052,1.018,-1.099,-1.282,3.418
0.096,-0.040,1.018,-2.014,-3.052,0.854
0.081,-0.011,0.947,-4.150,-4.089,-2.014
0.056,0.036,0.918,-2.747,0.916,-1.709
0.063,0.041,0.998,0.732,9.338,1.282
0.110,-0.021,1.087,0.610,7.446,2.075
0.121,-0.035,1.051,-0.854,-0.854,-0.366
0.097,0.025,0.968,-0.549,-2.991,-1.038
0.083,0.039,0.964,1.221,-2.991,3.113
0.081,-0.010,1.025,1.892,-2.197,5.371
0.095,-0.041,1.053,2.747,-1.709,5.798
0.115,-0.054,0.996,0.732,-4.883,2.014
0.104,-0.034,0.945,-1.953,-5.981,-0.488
0.087,-0.024,0.931,-3.357,-1.770,-2.441
0.054,0.013,0.952,-3.052,0.916,-2.502
0.052,0.005,0.979,-0.122,6.042,-1.221
0.065,-0.006,1.065,2.441,6.836,-1.160
